condition | icdv | dx | method      | pattern
mal       | 10   | 1  | mimicivcode | ^C8[1-58]
mal       | 10   | 1  | mimicivcode | ^C9[0-7]
mal       | 9    | 1  | mimicivcode | ^17[0-24-9]
mal       | 9    | 1  | mimicivcode | ^1[4-68]
mal       | 9    | 1  | mimicivcode | ^19[0-4]
mal       | 9    | 1  | mimicivcode | ^195\.?[0-8]
mal       | 9    | 1  | mimicivcode | ^20[0-8]
mal       | 9    | 1  | mimicivcode | ^238\.?6
msld      | 10   | 1  | mimicivcode | ^I85\.?[09]
msld      | 10   | 1  | mimicivcode | ^I86\.?4
msld      | 10   | 1  | mimicivcode | ^I98\.?2
msld      | 10   | 1  | mimicivcode | ^K70\.?4
msld      | 10   | 1  | mimicivcode | ^K71\.?1
msld      | 10   | 1  | mimicivcode | ^K72\.?[19]
msld      | 10   | 1  | mimicivcode | ^K76\.?[5-7]
msld      | 9    | 1  | mimicivcode | ^456\.?2[0-1]
msld      | 9    | 1  | mimicivcode | ^456\.?[01]
msld      | 9    | 1  | mimicivcode | ^572\.?[2-8]
mst       | 10   | 1  | mimicivcode | ^C7[7-9]
mst       | 10   | 1  | mimicivcode | ^C80
mst       | 9    | 1  | mimicivcode | ^19[6-9]
aidshiv   | 10   | 1  | mimicivcode | ^B2[0-24]
aidshiv   | 9    | 1  | mimicivcode | ^04[2-4]
