condition ; icdv ; dx ; method           ; pattern
rhd       ; 10   ; 1  ; mimicivcode      ; ^M(0[56]|3(1\.?5|5\.?[13]|6\.?0|[2-4]))
rhd       ; 10   ; 1  ; quan2005         ; ^M(0[56]|3(1\.?5|5\.?[13]|6\.?0|[2-4]))
rhd       ; 10   ; 1  ; sundararajan2004 ; ^M(0(5\.?[0-389]|6\.?[039])|3(2|3\.?2|4|5\.?3))
rhd       ; 9    ; 1  ; cdmf2019         ; ^(446\.?5|7(1(0\.?[0-4]|4\.?[0-28])|25))
rhd       ; 9    ; 1  ; deyo1992         ; ^7(1(0\.?[014]|4\.?([012]|81))|25)
rhd       ; 9    ; 1  ; mimicivcode      ; ^(446\.?5|7(1(0\.?[0-4]|4\.?[0-28])|25))
rhd       ; 9    ; 1  ; quan2005         ; ^(446\.?5|7(1(0\.?[0-4]|4\.?[0-28])|25))
rnd       ; 10   ; 1  ; ludvigsson2021   ; ^(I1(2\.?0|3\.?1)|N(0(3\.?[2-7]|5\.?[2-7])|1[189]|25\.?0)|Q61\.?[1-4]|Z(49|9(4\.?0|9\.?2)))
rnd       ; 10   ; 1  ; mimicivcode      ; ^(I1(2\.?0|3\.?1)|N(0[35]\.?[2-7]|1[89]|25\.?0)|Z(49\.?[0-2]|9(4\.?0|9\.?2)))
rnd       ; 10   ; 1  ; quan2005         ; ^(I1(2\.?0|3\.?1)|N(0[35]\.?[2-7]|1[89]|25\.?0)|Z(49\.?[0-2]|9(4\.?0|9\.?2)))
rnd       ; 10   ; 1  ; sundararajan2004 ; ^N(0(3|5\.?[2-6]|7\.?[234]|1)|1[89]|25)
rnd       ; 9    ; 1  ; deyo1992         ; ^58(2|3\.?[0-7]|[568])
rnd       ; 9    ; 1  ; mimicivcode      ; ^(40(3\.?[019]1|4\.?[019][23])|58(2|3\.?[0-7]|8\.?0|[56])|V(4(2\.?0|5\.?1)|56))
rnd       ; 9    ; 1  ; quan2005         ; ^(40(3\.?[019]1|4\.?[019][23])|58(2|3\.?[0-7]|8\.?0|[56])|V(4(2\.?0|5\.?1)|56))
rndm      ; 10   ; 1  ; cdmf2019         ; ^(I1(2\.?9|3\.?(0|10))|N(0[35]|18\.?[1-49])|Z94\.?0)
rndm      ; 9    ; 1  ; cdmf2019         ; ^(40(3\.?[019]0|4\.?[019][01])|58([23]|5\.?[1-49])|V42\.?0)
rnds      ; 10   ; 1  ; cdmf2019         ; ^(I1(2\.?0|3\.?(11|2))|N(1(8\.?[56]|9)|25\.?0)|Z(49|99\.?2))
rnds      ; 9    ; 1  ; cdmf2019         ; ^(40(3\.?[019]1|4\.?[019][23])|58(5\.?[56]|6|8\.?0)|V(45\.?1[12]|56\.?(3[12]|[0128])))
